zipcode,lat,long
28390,35.183,-78.9786
27958,36.4871,-76.1146
27374,35.9029,-80.257
27596,36.0249,-78.4744
28032,35.2396,-81.0831
28054,35.2495,-81.133
27888,35.5882,-77.6983
27282,35.999,-79.9293
27417,36.0726,-79.792
27498,36.0726,-79.792
27843,36.0594,-77.4061
28723,35.2409,-83.1475
27557,35.7665,-78.2062
28775,35.0311,-83.3274
27825,35.8349,-77.1736
27892,35.8212,-77.1022
28208,35.2358,-80.8964
28211,35.1677,-80.7932
28510,35.0055,-76.8149
28583,35.1371,-76.7406
28773,35.2383,-82.3306
28372,34.6902,-79.1834
28159,35.6917,-80.4327
28366,35.2301,-78.3594
27589,36.3539,-78.1594
28626,36.2814,-81.514
27872,36.195,-77.2602
28757,35.6415,-82.3156
28430,34.3025,-78.9216
28307,35.1416,-79.0025
28310,35.0506,-78.8038
27972,35.5546,-75.4693
27293,35.8829,-80.276
27299,35.7562,-80.3749
28508,35.1176,-77.8515
27101,36.1024,-80.2228
27103,36.0671,-80.3025
28012,35.244,-81.044
28077,35.4041,-81.2029
27265,36.0036,-80.0036
27412,36.0661,-79.8067
28726,35.2799,-82.4204
27942,36.2866,-76.7767
27826,35.5659,-76.2318
28699,35.831,-81.0076
27542,35.6077,-78.1382
28522,35.0051,-77.5231
28222,35.26,-80.8042
28227,35.1936,-80.6846
28247,35.0656,-80.8511
28256,35.26,-80.8042
28584,34.6991,-77.135
27278,36.0756,-79.0914
27906,36.2854,-76.2133
27370,35.8429,-79.9902
28347,35.0326,-79.56
28358,34.6293,-79.0083
27027,36.4277,-79.9567
28019,35.281,-81.7962
28160,35.3601,-81.9251
28720,35.4369,-82.2417
28079,35.0831,-80.6597
27537,36.36,-78.3906
27619,35.8515,-78.6314
27634,35.7977,-78.6253
27661,35.7977,-78.6253
27586,36.4265,-78.0036
28679,36.2627,-81.8441
28651,36.2119,-81.2485
27851,35.6415,-78.0197
28631,36.5415,-81.4468
28622,36.1646,-81.9639
27889,35.5884,-77.1404
27805,36.1475,-77.1141
28680,35.7507,-81.6953
28124,35.4146,-80.4171
27974,36.2584,-76.0432
27228,35.7835,-79.1298
28902,35.0261,-83.9567
28909,35.0024,-83.9045
28436,34.2838,-78.2607
27964,36.0781,-75.7983
28349,35.0152,-77.8969
28464,34.77,-78.0221
27116,36.0999,-80.2442
28771,35.3259,-83.7888
27214,36.2019,-79.7101
27410,36.1032,-79.8794
27429,36.0726,-79.792
28339,35.3287,-78.6859
28732,35.4499,-82.4966
27910,36.2957,-76.9966
28625,35.8651,-80.8858
28555,34.8691,-77.2315
28749,35.8493,-82.0904
28106,35.26,-80.8042
28214,35.2731,-80.9571
28327,35.3061,-79.3969
28546,34.774,-77.3781
28529,35.0668,-76.871
27583,36.2918,-78.9353
28357,34.8762,-79.0664
28343,34.7549,-79.5839
28128,35.2275,-80.1433
28719,35.5094,-83.3144
28112,34.8946,-80.554
28173,34.9251,-80.7278
27957,36.0871,-76.7776
27207,35.6129,-79.3726
28905,35.1475,-83.9381
28303,35.0742,-78.965
27360,35.8713,-80.0913
28341,35.1199,-78.118
27094,36.2404,-80.2934
27102,36.0323,-80.3962
27104,36.092,-80.3224
27113,36.0999,-80.2442
27150,36.0275,-80.2073
28016,35.2849,-81.2863
27937,36.5036,-76.7646
27235,36.1003,-80.0103
27357,36.2552,-79.9705
27401,36.0697,-79.7682
27402,36.0726,-79.792
27411,36.0726,-79.792
27850,36.4169,-77.8528
28010,35.7192,-80.8991
28115,35.5774,-80.8226
28689,36.0369,-80.8967
27237,35.4676,-79.1653
28737,35.7387,-82.0595
28201,35.26,-80.8042
28215,35.244,-80.7387
28221,35.26,-80.8042
28229,35.26,-80.8042
28246,35.2275,-80.8425
28297,35.26,-80.8042
28401,34.2257,-77.9447
28571,35.0364,-76.7015
28478,34.6845,-78.0234
28530,35.3757,-77.4193
28364,34.7334,-79.3097
28396,34.9044,-79.3959
28001,35.3573,-80.2044
28137,35.4541,-80.2838
27529,35.6813,-78.5975
27530,35.3683,-78.0929
28670,36.2059,-80.927
27253,36.031,-79.3814
28102,34.8136,-79.9776
28704,35.4637,-82.5354
28655,35.7346,-81.7042
28524,34.7974,-76.4602
27208,35.5673,-79.5225
28314,35.0583,-79.008
